,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,St Louis,1,US,1600821947,68,38.63,-90.2,73.4,4.7
1,Chicago,20,US,1600821947,47,41.85,-87.65,75.2,8.05
2,Miami,75,US,1600822024,58,25.77,-80.19,82.4,11.41
3,Little Rock,90,US,1600822115,93,34.75,-92.29,64.4,6.93
4,Reno,20,US,1600821908,15,39.53,-119.81,80.6,16.11
5,Los Angeles,1,US,1600822034,57,34.05,-118.24,86.0,7.85
6,Dallas,100,US,1600821994,94,32.77,-96.78,68.0,3.0
7,Boise,1,US,1600822092,19,43.61,-116.2,80.6,5.82
8,Tampa,90,US,1600822076,65,27.95,-82.46,80.6,9.17
9,Davenport,1,US,1600822132,68,41.52,-90.58,69.8,3.36
